ms,degC
2021,32.9
4045,33.6
6068,33.8
8090,34.2
10113,34.3
12137,34.4
14159,34.6
16182,34.7
18206,34.8
20229,35
22251,35.1
24275,35.2
26298,35.3
28320,35.4
30345,35.5
32367,35.6
-31145,35.7
-29123,35.8
-27101,35.9
-25076,35.9
-23054,36
-21031,36
-19007,36.1
-16984,36.1
-14961,36.2
-12939,36.2
-10914,36.3
-8892,36.3
-6869,36.4
-4845,36.4
-2823,36.4
-800,36.4
1224,36.5
3248,36.5
5270,36.5
7292,36.6
9317,36.6
11339,36.6
13362,36.6
15386,36.7
17409,36.7
19431,36.7
21454,36.7
23477,36.7
25500,36.7
27523,36.7
29545,36.7
31569,36.7
