ms,degC
2021,25.9
4045,26.9
6068,27.4
8091,28
10114,28.6
12136,29.2
14159,29.7
16182,30.1
18205,30.7
20228,31.1
22251,31.5
24273,31.9
26298,32.3
28320,32.6
30343,32.9
32366,33.2
-31145,33.4
-29123,33.5
-27100,33.7
-25077,33.9
-23055,34
-21032,34.2
-19008,34.4
-16986,34.4
-14963,34.6
-12940,34.6
-10917,34.7
-8895,34.8
-6871,34.8
-4848,34.9
-2826,35
-803,35
1221,35
3244,35.1
5266,35.1
7288,35.2
9313,35.2
11335,35.2
13358,35.3
15382,35.3
17404,35.4
19427,35.4
21451,35.4
23474,35.5
25497,35.5
27520,35.6
29542,35.6
31566,35.6
-31947,35.6
-29925,35.7
-27901,35.7
