ms,degC
2021,30.1
4045,30.5
6068,30.7
8091,31.1
10114,31.4
12137,31.7
14159,31.9
16182,32.2
18206,32.4
20229,32.7
22251,32.9
24273,33
26298,33.2
28320,33.4
30343,33.6
32366,33.7
-31148,33.9
-29125,33.9
-27101,34
-25077,34.1
-23055,34.2
-21032,34.3
-19008,34.4
-16986,34.4
-14963,34.5
-12939,34.5
-10916,34.6
-8893,34.6
-6871,34.7
-4848,34.7
-2826,34.8
-801,34.8
1221,34.8
3244,34.8
5266,34.9
7290,34.9
9313,35
11335,35
13358,35
15382,35
17404,35
19427,35.1
21450,35.1
23473,35.1
25495,35.2
27517,35.2
29542,35.2
31564,35.3
-31948,35.3
-29926,35.3
-27903,35.4
-25879,35.4
-23857,35.4
-21834,35.4
